Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;2052083748;347;985;0;0;0;0;0.0.0.0;1445028833701;1445028833700;1;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;1;0;0;0.0.0.0;1445028833705;1445028833700;5;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;1;1;0;0.0.0.0;1445028833705;1445028833700;5;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;1;2;0;0.0.0.0;1445028833705;1445028833700;5;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;1;3;0;0.0.0.0;1445028833705;1445028833700;5;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;2;0;0;0.0.0.0;1445028834706;1445028833700;1006;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;2;1;0;0.0.0.0;1445028834706;1445028833700;1006;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;2;2;0;0.0.0.0;1445028834706;1445028833700;1006;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;2;3;0;0.0.0.0;1445028834706;1445028833700;1006;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;3;0;0;0.0.0.0;1445028835707;1445028833700;2007;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;3;1;0;0.0.0.0;1445028835707;1445028833700;2007;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;3;2;0;0.0.0.0;1445028835708;1445028833700;2008;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;3;3;0;0.0.0.0;1445028835708;1445028833700;2008;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;4;0;0;0.0.0.0;1445028836709;1445028833700;3009;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;4;1;0;0.0.0.0;1445028836709;1445028833700;3009;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;4;2;0;0.0.0.0;1445028836709;1445028833700;3009;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;4;3;0;0.0.0.0;1445028836709;1445028833700;3009;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;5;0;0;0.0.0.0;1445028837710;1445028833700;4010;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;5;1;0;0.0.0.0;1445028837710;1445028833700;4010;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;5;2;0;0.0.0.0;1445028837710;1445028833700;4010;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;5;3;0;0.0.0.0;1445028837710;1445028833700;4010;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;6;0;0;0.0.0.0;1445028838711;1445028833700;5011;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;6;1;0;0.0.0.0;1445028838711;1445028833700;5011;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;6;2;0;0.0.0.0;1445028838711;1445028833700;5011;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;6;3;0;0.0.0.0;1445028838711;1445028833700;5011;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;7;0;0;0.0.0.0;1445028839712;1445028833700;6012;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;7;1;0;0.0.0.0;1445028839713;1445028833700;6013;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;7;2;0;0.0.0.0;1445028839713;1445028833700;6013;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;7;3;0;0.0.0.0;1445028839713;1445028833700;6013;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;8;0;0;0.0.0.0;1445028840713;1445028833700;7013;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;8;1;0;0.0.0.0;1445028840713;1445028833700;7013;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;8;2;0;0.0.0.0;1445028840713;1445028833700;7013;
0;0;0.0.0.0;0;32649;2052083748;347;985;0;8;3;0;0.0.0.0;1445028840713;1445028833700;7013;
